['48.867550#2.346220#1', '48.864738#2.346702#1'] 
['48.850286#2.291968#1', '48.853456#2.348286#1'] 
['48.859027#2.298116#0', '48.850286#2.291968#1'] 
['48.850286#2.291968#1', '48.856714#2.350973#1'] 
['48.850286#2.291968#1', '48.861759#2.335872#1'] 
['48.850286#2.291968#1', '48.859027#2.298116#1'] 
['48.880652#2.355071#1', '48.878756#2.356293#1'] 
['48.880652#2.355071#1', '48.861759#2.335872#1'] 
['48.880652#2.355071#1', '48.859027#2.298116#1'] 
['48.842032#2.321839#0', '48.859027#2.298116#0'] 
['48.842032#2.321839#0', '48.856714#2.350973#0'] 
['48.842032#2.321839#0', '48.861759#2.335872#0'] 
['48.854914#2.288698#0', '48.862169#2.288817#0'] 
['48.854914#2.288698#0', '48.858081#2.294634#0'] 
['48.854914#2.288698#0', '48.859027#2.298116#0'] 
['48.854914#2.288698#0', '48.861759#2.335872#0'] 
['48.854914#2.288698#0', '48.859027#2.298116#1'] 
['48.876450#2.336791#1', '48.873190#2.331764#1'] 
['48.873190#2.331764#0', '48.876450#2.336791#1'] 
['48.876450#2.336791#1', '48.861759#2.335872#1'] 
['48.872947#2.311023#0', '48.871267#2.303445#0'] 
['48.872947#2.311023#0', '48.861759#2.335872#0'] 
['48.855617#2.316040#1', '48.855104#2.312079#1'] 
['48.855617#2.316040#1', '48.860281#2.326122#1'] 
['48.855617#2.316040#1', '48.861759#2.335872#1'] 
['48.855617#2.316040#1', '48.859027#2.298116#1'] 
['48.877185#2.297543#0', '48.873716#2.295555#0'] 
['48.877185#2.297543#0', '48.853456#2.348286#0'] 
['48.877185#2.297543#0', '48.871267#2.303445#0'] 
['48.877185#2.297543#0', '48.859027#2.298116#0'] 
['48.877185#2.297543#0', '48.861759#2.335872#0'] 
['48.877185#2.297543#0', '48.861759#2.335872#1'] 
['48.877185#2.297543#0', '48.859027#2.298116#1'] 
['48.866772#2.362595#1', '48.865289#2.360506#1'] 
['48.866772#2.362595#1', '48.867485#2.364678#1'] 
['48.866772#2.362595#1', '48.863573#2.362903#1'] 
['48.872947#2.311023#1', '48.871267#2.303445#1'] 
['48.872947#2.311023#1', '48.856714#2.350973#1'] 
['48.872947#2.311023#1', '48.861759#2.335872#1'] 
['48.872947#2.311023#1', '48.859027#2.298116#1'] 
['48.864135#2.366097#1', '48.861047#2.365974#1'] 
['48.864135#2.366097#1', '48.863573#2.362903#1'] 
['48.863573#2.362903#0', '48.864135#2.366097#1'] 
['48.866772#2.362595#0', '48.870311#2.363233#0'] 
['48.866772#2.362595#0', '48.865289#2.360506#0'] 
['48.866772#2.362595#0', '48.867485#2.364678#0'] 
['48.866772#2.362595#0', '48.863573#2.362903#0'] 
['48.869263#2.335473#0', '48.866693#2.336023#0'] 
['48.869263#2.335473#0', '48.871251#2.332910#0'] 
['48.869263#2.335473#0', '48.861759#2.335872#0'] 
['48.846164#2.345149#0', '48.846921#2.337693#0'] 
['48.846164#2.345149#0', '48.853456#2.348286#0'] 
