['51.519689#-0.170041#0', '51.519011#-0.167549#0'] 
['51.492963#-0.158806#0', '51.492655#-0.156887#0'] 
['51.492963#-0.158806#0', '51.490993#-0.159376#0'] 
['51.492963#-0.158806#0', '51.487409#-0.168777#0'] 
['51.502516#-0.072046#1', '51.505179#-0.075614#1'] 
['51.536022#-0.039265#1', '51.536305#-0.036434#1'] 
['51.536022#-0.039265#1', '51.538408#-0.032192#1'] 
['51.536022#-0.039265#1', '51.532352#-0.041167#1'] 
['51.536022#-0.039265#1', '51.562144#0.006446#1'] 
['51.507734#-0.158052#0', '51.510218#-0.159733#1'] 
['51.510218#-0.159733#1', '51.507734#-0.158052#1'] 
['51.510218#-0.159733#1', '51.508614#-0.163610#1'] 
['51.507949#-0.133744#0', '51.510450#-0.135114#0'] 
['51.505663#-0.143314#0', '51.501641#-0.140994#0'] 
['51.506379#-0.218522#1', '51.507164#-0.220884#1'] 
['51.502391#-0.084275#1', '51.504571#-0.086367#1'] 
['51.510460#-0.186961#1', '51.512183#-0.186806#1'] 
['51.528286#-0.089383#0', '51.526580#-0.087763#0'] 
['51.515192#-0.072099#0', '51.517185#-0.073196#0'] 
['51.515192#-0.072099#1', '51.516415#-0.069961#1'] 
['51.515192#-0.072099#1', '51.517185#-0.073196#1'] 
['51.523952#-0.098075#1', '51.523928#-0.095751#1'] 
['51.523928#-0.095751#0', '51.523952#-0.098075#1'] 
['51.483462#-0.166995#1', '51.487409#-0.168777#1'] 
['51.508268#-0.101222#1', '51.509938#-0.098442#1'] 
['51.508268#-0.101222#1', '51.513763#-0.098992#1'] 
['51.508268#-0.101222#1', '51.507819#-0.099128#1'] 
['51.507492#-0.080691#0', '51.505184#-0.079817#0'] 
['51.507492#-0.080691#0', '51.508300#-0.077523#0'] 
['51.507492#-0.080691#0', '51.511516#-0.083940#0'] 
['51.507492#-0.080691#0', '51.505179#-0.075614#0'] 
['51.513706#-0.188398#1', '51.512183#-0.186806#1'] 
['51.539580#-0.160639#0', '51.540811#-0.157988#0'] 
['51.507949#-0.133744#1', '51.511480#-0.133217#1'] 
['51.507949#-0.133744#1', '51.510450#-0.135114#1'] 
['51.507949#-0.133744#1', '51.507643#-0.127659#1'] 
['51.519656#-0.069654#1', '51.519064#-0.071628#1'] 
['51.519656#-0.069654#1', '51.521993#-0.071416#1'] 
['51.519656#-0.069654#1', '51.520843#-0.072576#1'] 
['51.537648#-0.060883#1', '51.536247#-0.061555#1'] 
['51.537648#-0.060883#1', '51.541249#-0.058890#1'] 
['51.537648#-0.060883#1', '51.538149#-0.057841#1'] 
['51.536247#-0.061555#0', '51.537648#-0.060883#1'] 
['51.540931#-0.145362#0', '51.542805#-0.148463#0'] 
['51.540931#-0.145362#0', '51.540009#-0.143803#0'] 
['51.540931#-0.145362#0', '51.541702#-0.146280#0'] 
['51.529762#-0.054831#1', '51.528439#-0.056040#1'] 
['51.507492#-0.080691#1', '51.505184#-0.079817#1'] 
['51.507492#-0.080691#1', '51.511516#-0.083940#1'] 
['51.507492#-0.080691#1', '51.508300#-0.077523#1'] 
['51.507492#-0.080691#1', '51.505179#-0.075614#1'] 
['51.536305#-0.036434#1', '51.538408#-0.032192#1'] 
['51.536305#-0.036434#1', '51.562144#0.006446#1'] 
['51.511113#-0.077487#0', '51.508300#-0.077523#0'] 
['51.516794#-0.138402#1', '51.516021#-0.136591#1'] 
['51.507848#-0.130769#0', '51.507643#-0.127659#0'] 
['51.506925#-0.161015#1', '51.507734#-0.158052#1'] 
['51.506925#-0.161015#1', '51.508614#-0.163610#1'] 
['51.537648#-0.060883#0', '51.538149#-0.057841#0'] 
['51.537648#-0.060883#0', '51.536247#-0.061555#0'] 
['51.504126#-0.113848#0', '51.502202#-0.112323#0'] 
['51.538408#-0.032192#1', '51.532352#-0.041167#1'] 
['51.536305#-0.036434#0', '51.538408#-0.032192#1'] 
['51.538408#-0.032192#1', '51.562144#0.006446#1'] 
['51.562144#0.006446#0', '51.538408#-0.032192#1'] 
['51.501485#-0.162431#1', '51.499833#-0.162802#1'] 
['51.514450#-0.198320#1', '51.515268#-0.204455#1'] 
['51.525671#-0.099173#0', '51.523952#-0.098075#0'] 
['51.509161#-0.084059#0', '51.511516#-0.083940#0'] 
['51.520560#-0.098085#1', '51.519962#-0.101581#1'] 
['51.520560#-0.098085#1', '51.519739#-0.093794#1'] 
['51.463546#-0.167655#0', '51.463816#-0.170028#0'] 
['51.542044#-0.102909#0', '51.538741#-0.102721#0'] 
['51.498659#-0.161910#0', '51.499833#-0.162802#0'] 
['51.498659#-0.161910#0', '51.499833#-0.162802#1'] 
['51.525576#-0.089858#1', '51.526580#-0.087763#1'] 
['51.501853#-0.159775#0', '51.499833#-0.162802#0'] 
['51.501853#-0.159775#0', '51.499833#-0.162802#1'] 
['51.532352#-0.041167#1', '51.562144#0.006446#1'] 
['51.517432#-0.096550#0', '51.519739#-0.093794#0'] 
['51.517432#-0.096550#0', '51.513763#-0.098992#0'] 
['51.494422#-0.173127#1', '51.496803#-0.172249#1'] 
['51.517077#-0.178763#1', '51.515808#-0.175934#1'] 
['51.512546#-0.090394#0', '51.513392#-0.087877#0'] 
['51.507277#-0.122053#1', '51.505405#-0.118471#1'] 
['51.505663#-0.143314#1', '51.501641#-0.140994#1'] 
['51.505663#-0.143314#1', '51.508197#-0.142524#1'] 
['51.505663#-0.143314#1', '51.510450#-0.135114#1'] 
['51.488630#-0.165813#0', '51.487409#-0.168777#0'] 
['51.509007#-0.089754#0', '51.510446#-0.086537#0'] 
['51.509007#-0.089754#0', '51.507319#-0.087908#0'] 
